PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Ticket_final,Cabin_combined
1,0.0,3,22.0,1,0,7.25,0,1,0,0,1,211711.0,0
2,1.0,1,38.0,1,0,71.2833,1,0,1,0,0,175992.0,3085
3,1.0,3,26.0,0,0,7.925,1,0,0,0,1,31012823.0,0
4,1.0,1,35.0,1,0,53.1,1,0,0,0,1,1138034.0,30123
5,0.0,3,35.0,0,0,8.05,0,1,0,0,1,3734504.0,0
6,0.0,3,29.0,0,0,8.4583,0,1,0,1,0,3308774.0,0
7,0.0,1,54.0,0,0,51.8625,0,1,0,0,1,174634.0,5046
8,0.0,3,2.0,3,1,21.075,0,1,0,0,1,3499094.0,0
9,1.0,3,27.0,0,2,11.1333,1,0,0,0,1,3477424.0,0
10,1.0,2,14.0,1,0,30.0708,1,0,1,0,0,2377364.0,0
11,1.0,3,4.0,1,1,16.7,1,0,0,0,1,95495.0,706
12,1.0,1,58.0,0,0,26.55,1,0,0,0,1,1137834.0,30103
13,0.0,3,20.0,0,0,8.05,0,1,0,0,1,21516.0,0
14,0.0,3,39.0,1,5,31.275,0,1,0,0,1,3470824.0,0
15,0.0,3,14.0,0,0,7.8542,1,0,0,0,1,3504064.0,0
16,1.0,2,55.0,0,0,16.0,1,0,0,0,1,2487064.0,0
17,0.0,3,2.0,4,1,29.125,0,1,0,1,0,3826524.0,0
18,1.0,2,29.0,0,0,13.0,0,1,0,0,1,2443734.0,0
19,0.0,3,31.0,1,0,18.0,1,0,0,0,1,3457634.0,0
20,1.0,3,29.0,0,0,7.225,1,0,1,0,0,26494.0,0
21,0.0,2,35.0,0,0,26.0,0,1,0,0,1,2398654.0,0
22,1.0,2,34.0,0,0,13.0,0,1,0,0,1,2486984.0,4056
23,1.0,3,15.0,0,0,8.0292,1,0,0,1,0,3309234.0,0
24,1.0,1,28.0,0,0,35.5,0,1,0,0,1,1137884.0,106
25,0.0,3,8.0,3,1,21.075,1,0,0,0,1,3499094.0,0
26,1.0,3,38.0,1,5,31.3875,1,0,0,0,1,3470774.0,0
27,0.0,3,29.0,0,0,7.225,0,1,1,0,0,26314.0,0
28,0.0,1,19.0,3,2,263.0,0,1,0,0,1,199504.0,3023
29,1.0,3,29.0,0,0,7.8792,1,0,0,1,0,3309594.0,0
30,0.0,3,29.0,0,0,7.8958,0,1,0,0,1,3492164.0,0
31,0.0,1,40.0,0,0,27.7208,0,1,1,0,0,176012.0,0
32,1.0,1,29.0,1,0,146.5208,1,0,1,0,0,175692.0,2078
33,1.0,3,29.0,0,0,7.75,1,0,0,1,0,3356774.0,0
34,0.0,2,66.0,0,0,10.5,0,1,0,0,1,245797.0,0
35,0.0,1,28.0,1,0,82.1708,0,1,1,0,0,176042.0,0
36,0.0,1,42.0,1,0,52.0,0,1,0,0,1,1137894.0,0
37,1.0,3,29.0,0,0,7.2292,0,1,1,0,0,26774.0,0
38,0.0,3,21.0,0,0,8.05,0,1,0,0,1,21528.0,0
39,0.0,3,18.0,2,0,18.0,1,0,0,0,1,3457644.0,0
40,1.0,3,14.0,1,0,11.2417,1,0,1,0,0,26514.0,0
41,0.0,3,40.0,1,0,9.475,1,0,0,0,1,75464.0,0
42,0.0,2,27.0,1,0,21.0,1,0,0,0,1,116684.0,0
43,0.0,3,29.0,0,0,7.8958,0,1,1,0,0,3492534.0,0
44,1.0,2,3.0,1,2,41.5792,1,0,1,0,0,21239.0,0
45,1.0,3,19.0,0,0,7.8792,1,0,0,1,0,3309584.0,0
46,0.0,3,29.0,0,0,8.05,0,1,0,0,1,2356710.0,0
47,0.0,3,29.0,1,0,15.5,0,1,0,1,0,3703714.0,0
48,1.0,3,29.0,0,0,7.75,1,0,0,1,0,143114.0,0
49,0.0,3,29.0,2,0,21.6792,0,1,1,0,0,26624.0,0
50,0.0,3,18.0,1,0,17.8,1,0,0,0,1,3492374.0,0
51,0.0,3,7.0,4,1,39.6875,0,1,0,0,1,31012954.0,0
52,0.0,3,21.0,0,0,7.8,0,1,0,0,1,3988611.0,0
53,1.0,1,49.0,1,0,76.7292,1,0,1,0,0,175722.0,4033
54,1.0,2,29.0,1,0,26.0,1,0,0,0,1,29264.0,0
55,0.0,1,65.0,0,1,61.9792,0,1,1,0,0,1135094.0,2030
56,1.0,1,29.0,0,0,35.5,0,1,0,0,1,199474.0,3052
57,1.0,2,21.0,0,0,10.5,1,0,0,0,1,310267.0,0
58,0.0,3,28.5,0,0,7.2292,0,1,1,0,0,26974.0,0
59,1.0,2,5.0,1,2,27.75,1,0,0,0,1,346517.0,0
60,0.0,3,11.0,5,2,46.9,0,1,0,0,1,214412.0,0
61,0.0,3,22.0,0,0,7.2292,0,1,1,0,0,26694.0,0
62,1.0,1,38.0,0,0,80.0,1,0,0,0,1,1135724.0,2028
63,0.0,1,45.0,1,0,83.475,0,1,0,0,1,369734.0,3083
64,0.0,3,4.0,3,2,27.9,0,1,0,0,1,3470884.0,0
65,0.0,1,29.0,0,0,27.7208,0,1,1,0,0,176052.0,0
66,1.0,3,29.0,1,1,15.2458,0,1,1,0,0,26614.0,0
67,1.0,2,29.0,0,0,10.5,1,0,0,0,1,293957.0,6033
68,0.0,3,19.0,0,0,8.1583,0,1,0,0,1,346413.0,0
69,1.0,3,17.0,4,2,7.925,1,0,0,0,1,31012814.0,0
70,0.0,3,26.0,2,0,8.6625,0,1,0,0,1,3151514.0,0
71,0.0,2,32.0,0,0,10.5,0,1,0,0,1,331117.0,0
72,0.0,3,16.0,5,2,46.9,1,0,0,0,1,214412.0,0
73,0.0,2,21.0,0,0,73.5,0,1,0,0,1,1487914.0,0
