PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Ticket_number,Ticket_value_encoded,Ticket_final,Cabin_encoded,Cabin_number,Cabin_combined
1,0,3,22.0,1,0,7.25,0,1,0.0,1.0,0.0,21171,1,121171,0,0,0
2,1,1,38.0,1,0,71.2833,1,0,0.0,0.0,1.0,17599,2,217599,3,85,385
3,1,3,26.0,0,0,7.925,1,0,0.0,1.0,0.0,3101282,3,33101282,0,0,0
4,1,1,35.0,1,0,53.1,1,0,0.0,0.0,1.0,113803,4,4113803,3,123,3123
5,0,3,35.0,0,0,8.05,0,1,0.0,0.0,1.0,373450,4,4373450,0,0,0
6,0,3,29.0,0,0,8.4583,0,1,0.0,0.0,1.0,330877,4,4330877,0,0,0
7,0,1,54.0,0,0,51.8625,0,1,0.0,1.0,0.0,17463,4,417463,5,46,546
8,0,3,2.0,3,1,21.075,0,1,0.0,0.0,1.0,349909,4,4349909,0,0,0
9,1,3,27.0,0,2,11.1333,1,0,1.0,0.0,0.0,347742,4,4347742,0,0,0
10,1,2,14.0,1,0,30.0708,1,0,0.0,0.0,1.0,237736,4,4237736,0,0,0
11,1,3,4.0,1,1,16.7,1,0,0.0,0.0,1.0,9549,5,59549,7,6,76
12,1,1,58.0,0,0,26.55,1,0,0.0,0.0,1.0,113783,4,4113783,3,103,3103
13,0,3,20.0,0,0,8.05,0,1,0.0,0.0,1.0,2151,6,62151,0,0,0
14,0,3,39.0,1,5,31.275,0,1,0.0,0.0,1.0,347082,4,4347082,0,0,0
15,0,3,14.0,0,0,7.8542,1,0,0.0,0.0,1.0,350406,4,4350406,0,0,0
16,1,2,55.0,0,0,16.0,1,0,1.0,0.0,0.0,248706,4,4248706,0,0,0
17,0,3,2.0,4,1,29.125,0,1,0.0,1.0,0.0,382652,4,4382652,0,0,0
18,1,2,29.0,0,0,13.0,0,1,1.0,0.0,0.0,244373,4,4244373,0,0,0
19,0,3,31.0,1,0,18.0,1,0,0.0,0.0,1.0,345763,4,4345763,0,0,0
20,1,3,29.0,0,0,7.225,1,0,1.0,0.0,0.0,2649,4,42649,0,0,0
21,0,2,35.0,0,0,26.0,0,1,1.0,0.0,0.0,239865,4,4239865,0,0,0
22,1,2,34.0,0,0,13.0,0,1,0.0,0.0,1.0,248698,4,4248698,4,56,456
23,1,3,15.0,0,0,8.0292,1,0,0.0,0.0,1.0,330923,4,4330923,0,0,0
24,1,1,28.0,0,0,35.5,0,1,1.0,0.0,0.0,113788,4,4113788,1,6,16
25,0,3,8.0,3,1,21.075,1,0,1.0,0.0,0.0,349909,4,4349909,0,0,0
26,1,3,38.0,1,5,31.3875,1,0,0.0,0.0,1.0,347077,4,4347077,0,0,0
27,0,3,29.0,0,0,7.225,0,1,1.0,0.0,0.0,2631,4,42631,0,0,0
28,0,1,19.0,3,2,263.0,0,1,1.0,0.0,0.0,19950,4,419950,333,232527,333232527
29,1,3,29.0,0,0,7.8792,1,0,0.0,0.0,1.0,330959,4,4330959,0,0,0
30,0,3,29.0,0,0,7.8958,0,1,1.0,0.0,0.0,349216,4,4349216,0,0,0
31,0,1,40.0,0,0,27.7208,0,1,0.0,0.0,1.0,17601,2,217601,0,0,0
32,1,1,29.0,1,0,146.5208,1,0,0.0,0.0,1.0,17569,2,217569,2,78,278
33,1,3,29.0,0,0,7.75,1,0,0.0,0.0,1.0,335677,4,4335677,0,0,0
34,0,2,66.0,0,0,10.5,0,1,0.0,0.0,1.0,24579,7,724579,0,0,0
35,0,1,28.0,1,0,82.1708,0,1,1.0,0.0,0.0,17604,2,217604,0,0,0
36,0,1,42.0,1,0,52.0,0,1,1.0,0.0,0.0,113789,4,4113789,0,0,0
37,1,3,29.0,0,0,7.2292,0,1,0.0,0.0,1.0,2677,4,42677,0,0,0
38,0,3,21.0,0,0,8.05,0,1,0.0,0.0,1.0,2152,8,82152,0,0,0
39,0,3,18.0,2,0,18.0,1,0,0.0,0.0,1.0,345764,4,4345764,0,0,0
40,1,3,14.0,1,0,11.2417,1,0,0.0,0.0,1.0,2651,4,42651,0,0,0
41,0,3,40.0,1,0,9.475,1,0,1.0,0.0,0.0,7546,4,47546,0,0,0
42,0,2,27.0,1,0,21.0,1,0,0.0,0.0,1.0,11668,4,411668,0,0,0
43,0,3,29.0,0,0,7.8958,0,1,0.0,0.0,1.0,349253,4,4349253,0,0,0
44,1,2,3.0,1,2,41.5792,1,0,0.0,0.0,1.0,2123,9,92123,0,0,0
45,1,3,19.0,0,0,7.8792,1,0,0.0,0.0,1.0,330958,4,4330958,0,0,0
46,0,3,29.0,0,0,8.05,0,1,0.0,0.0,1.0,23567,10,1023567,0,0,0
47,0,3,29.0,1,0,15.5,0,1,1.0,0.0,0.0,370371,4,4370371,0,0,0
48,1,3,29.0,0,0,7.75,1,0,0.0,1.0,0.0,14311,4,414311,0,0,0
49,0,3,29.0,2,0,21.6792,0,1,1.0,0.0,0.0,2662,4,42662,0,0,0
50,0,3,18.0,1,0,17.8,1,0,0.0,0.0,1.0,349237,4,4349237,0,0,0
51,0,3,7.0,4,1,39.6875,0,1,0.0,0.0,1.0,3101295,4,43101295,0,0,0
52,0,3,21.0,0,0,7.8,0,1,1.0,0.0,0.0,39886,11,1139886,0,0,0
53,1,1,49.0,1,0,76.7292,1,0,0.0,0.0,1.0,17572,2,217572,4,33,433
54,1,2,29.0,1,0,26.0,1,0,0.0,0.0,1.0,2926,4,42926,0,0,0
55,0,1,65.0,0,1,61.9792,0,1,1.0,0.0,0.0,113509,4,4113509,2,30,230
56,1,1,29.0,0,0,35.5,0,1,0.0,1.0,0.0,19947,4,419947,3,52,352
57,1,2,21.0,0,0,10.5,1,0,0.0,0.0,1.0,31026,7,731026,0,0,0
58,0,3,28.5,0,0,7.2292,0,1,0.0,0.0,1.0,2697,4,42697,0,0,0
59,1,2,5.0,1,2,27.75,1,0,0.0,0.0,1.0,34651,7,734651,0,0,0
60,0,3,11.0,5,2,46.9,0,1,1.0,0.0,0.0,2144,12,122144,0,0,0
61,0,3,22.0,0,0,7.2292,0,1,0.0,0.0,1.0,2669,4,42669,0,0,0
62,1,1,38.0,0,0,80.0,1,0,0.0,0.0,1.0,113572,4,4113572,2,28,228
63,0,1,45.0,1,0,83.475,0,1,0.0,0.0,1.0,36973,4,436973,3,83,383
64,0,3,4.0,3,2,27.9,0,1,0.0,1.0,0.0,347088,4,4347088,0,0,0
65,0,1,29.0,0,0,27.7208,0,1,1.0,0.0,0.0,17605,2,217605,0,0,0
66,1,3,29.0,1,1,15.2458,0,1,0.0,0.0,1.0,2661,4,42661,0,0,0
67,1,2,29.0,0,0,10.5,1,0,0.0,1.0,0.0,29395,7,729395,6,33,633
68,0,3,19.0,0,0,8.1583,0,1,0.0,0.0,1.0,3464,13,133464,0,0,0
69,1,3,17.0,4,2,7.925,1,0,1.0,0.0,0.0,3101281,4,43101281,0,0,0
70,0,3,26.0,2,0,8.6625,0,1,0.0,0.0,1.0,315151,4,4315151,0,0,0
71,0,2,32.0,0,0,10.5,0,1,0.0,1.0,0.0,33111,7,733111,0,0,0
72,0,3,16.0,5,2,46.9,1,0,0.0,0.0,1.0,2144,12,122144,0,0,0
73,0,2,21.0,0,0,73.5,0,1,0.0,0.0,1.0,14879,14,1414879,0,0,0
74,0,3,26.0,1,0,14.4542,0,1,1.0,0.0,0.0,2680,4,42680,0,0,0
75,1,3,32.0,0,0,56.4958,0,1,1.0,0.0,0.0,1601,4,41601,0,0,0
